episode,loss,average reward,conflicts,LoS,action LEFT,action RIGHT,action DIRECT,action LNAV,duration,epsilon
1,,0.7515813767790207,100,6,37,37,0,26,19.92,1.0
2,,0.6842413546053204,103,12,36,35,0,32,23.1,1.0
1,,0.501212506722907,100,18,31,35,0,34,35.58,1.0
1,,0.537486129085294,50,47,87,89,0,94,41.07,1.0
1,,0.017699629112574344,51,33,66,88,0,69,41.62,1.0
3,,-0.33472092554348554,51,38,59,67,0,64,47.41,1.0
1,,0.3511949710712869,51,24,87,80,0,86,36.41,1.0
3,,0.6109498596449924,50,14,90,93,0,78,37.67,1.0
5,,0.4604217102462437,51,21,81,90,0,98,49.63,1.0
1,,0.19011456661157136,50,29,87,92,0,60,35.27,1.0
2,1.462030053138733,0.4458940263391621,51,28,115,116,0,128,44.64,0.91
3,,0.49211336278614914,51,18,98,71,0,83,35.8,0.91
4,1.241476058959961,0.11178380129219101,50,35,100,83,0,72,37.78,0.8200000000000001
5,,0.5068590631629698,50,20,101,80,0,102,42.61,0.8200000000000001
6,1.082045078277588,0.4884052616121292,50,20,103,91,0,88,34.61,0.7300000000000001
7,,0.5491157882348928,50,23,143,72,0,146,35.48,0.7300000000000001
8,0.8666744232177734,0.41716301224951136,51,26,120,84,0,117,32.94,0.6400000000000001
9,,0.7167397078908136,50,14,156,110,0,176,33.83,0.6400000000000001
10,1.211150050163269,0.6476411716672164,50,18,150,86,0,138,31.06,0.5500000000000002
11,,0.5489621932220013,50,24,168,76,0,152,35.09,0.5500000000000002
12,0.8237789869308472,0.7132258520110962,52,17,202,86,0,248,36.51,0.46000000000000013
13,,0.557313695817195,50,17,113,46,0,118,34.01,0.46000000000000013
14,0.9519094228744507,0.44699320548406746,50,25,127,53,0,133,32.72,0.3700000000000001
15,,0.5669963413877879,50,30,218,67,0,231,36.76,0.3700000000000001
16,0.9347364902496338,0.6266134666231479,51,21,198,46,0,202,38.37,0.2800000000000001
17,,0.5832092546629261,50,23,182,44,0,184,34.31,0.2800000000000001
18,0.9081349968910217,0.503355344976142,51,33,213,44,0,223,36.76,0.19000000000000006
19,,0.5551632657742889,50,27,218,32,0,211,33.42,0.19000000000000006
20,0.7433454394340515,0.5226802866644455,51,24,173,22,0,170,37.67,0.10000000000000005
21,,0.6368655008968356,50,20,186,11,0,210,45.4,0.10000000000000005
22,0.6439787745475769,0.5738355003031596,51,22,190,25,0,188,44.07,0.1
23,,0.69523580560771,50,13,166,9,0,172,38.06,0.1
24,0.9923292398452759,0.575945588751329,51,24,191,12,0,190,31.5,0.1
25,,0.7191914799421092,50,23,309,27,0,309,42.79,0.1
26,0.9156656861305237,0.4767153720211563,50,26,170,5,0,171,36.83,0.1
27,,0.4544752429488609,50,23,150,13,0,165,35.21,0.1
28,0.6758285164833069,0.7019224310893509,50,20,233,18,0,276,39.33,0.1
29,,0.4244849159810021,50,26,144,8,0,161,49.31,0.1
30,0.582641065120697,0.6802569925460408,50,14,171,16,0,157,30.71,0.1
31,,0.6584708943866334,50,15,189,11,0,181,30.95,0.1
32,1.198563575744629,0.5945299790415641,51,27,247,14,0,222,39.65,0.1
33,,0.6843022202941434,51,19,220,18,0,228,38.92,0.1
34,1.166927695274353,0.4890137841523997,50,22,132,11,0,160,35.9,0.1
35,,0.5903590436666022,50,26,226,13,0,219,40.31,0.1
36,0.7893517017364502,0.5440564274844527,51,31,233,21,0,238,39.16,0.1
1,,0.18641186704605894,51,26,72,76,0,71,47.04,1.0
2,1.4009039402008057,0.17383871268749998,51,38,110,94,0,100,53.03,0.91
3,,0.1852658305755762,50,37,80,107,0,128,38.83,0.91
